DST1002*06  X220   0   2  -1   0  -1   0   1   3   6   4   2   2   4   2  -6 -14 -19 -15 -12 -11 -12 -18 -16 -14 -12  -5
DST1002*07  X220   0 -11 -11 -13 -15 -15 -15 -13 -10 -11 -12 -13  -9  -8  -9 -10  -8  -5   0   2   8   2  -3 -10 -13  -8
DST1002*08  X220   0 -20 -19 -22 -22 -21 -20 -17 -13  -9  -9  -9  -5  -6  -7  -5  -1   2   3   6   5   5   8   8   5  -7
DST1002*09  X220   0  -4  -9 -13 -15 -14 -14 -12  -5   1   4   5   5   7   4   0  -1  -3  -1   2  -1  -5  -6  -8  -5  -4
DST1002*10  X220   0  -5  -6  -9  -9  -9 -11 -12 -13 -15 -18 -17 -14 -11  -9 -10 -11 -10  -8  -8  -7  -8  -7  -5  -2 -10
DST1002*11  X220   0   2   8  13   6   1  -4  -7  -7  -6   0   0   2   2  -2   2  -2  -5  -7  -5  -4  -4  -4  -3   2  -1
DST1002*12  X220   0   2   2  -1 -11 -22 -27 -28 -26 -25 -23 -22 -21 -18 -17 -17 -18 -17 -16 -14 -15 -17 -15 -11  -8 -16
DST1002*13  X220   0  -6  -6  -7 -12 -16 -16 -16 -12 -10  -8  -5  -4  -3  -5  -7  -9 -11 -15 -19 -20 -17 -15 -12 -12 -11
DST1002*14  X220   0 -11 -10 -10 -11 -12 -14 -16 -17 -14 -14 -17 -19 -16  -9  -6  -4  -3  -3  -4  -3  -2  -1  -5 -19 -10
DST1002*15  X220   0 -27 -28 -27 -26 -27 -27 -26 -28 -26 -22 -20 -14  -7  -9 -14 -19 -21 -18 -14 -23 -41 -51 -58 -59 -26
DST1002*16  X220   0 -54 -47 -44 -44 -44 -43 -44 -46 -42 -39 -33 -27 -23 -19 -18 -17 -19 -17 -14 -18 -24 -28 -31 -37 -32
DST1002*17  X220   0 -40 -37 -35 -35 -34 -32 -30 -29 -26 -20 -18 -18 -18 -17 -18 -17 -17 -15 -12 -13 -15 -18 -22 -16 -23
DST1002*18  X220   0 -10  -8  -7  -8  -9  -9  -6  -1   3   2   0  -3  -5 -11 -18 -15  -9 -11 -11 -15 -17 -16 -16 -13  -9
